Treatment	Percentage	Isolate	Replicate	Area
PDA	70	CA	4	14.889
PDA	70	CA	5	9.758
PDA	30	OR	1	10.922
PDA	30	OR	2	13.282
PDA	30	OR	3	13.781
PDA	30	OR	4	12.991
PDA	30	OR	5	11.261
PDA	50	OR	1	18.163
PDA	50	OR	2	14.788
PDA	50	OR	3	8.66
PDA	50	OR	4	13.652
PDA	50	OR	5	15.216
PDA	70	OR	1	6.936
PDA	70	OR	2	14.28
PDA	70	OR	3	14.152
PDA	70	OR	4	15.77
PDA	70	OR	5	12.971
PDA	30	TN	1	9.071
PDA	30	TN	2	9.616
PDA	30	TN	3	10.9
PDA	30	TN	4	11.018
PDA	30	TN	5	3.835
PDA	50	TN	1	6.564
PDA	50	TN	2	4.938
PDA	50	TN	3	11.768
PDA	50	TN	4	8.955
PDA	50	TN	6	6.462
PDA	70	TN	1	8.004
PDA	70	TN	2	8.672
PDA	70	TN	3	10.187
PDA	70	TN	4	6.515
PDA	70	TN	5	8.856
UA	30	CA	1	10.746
UA	30	CA	2	13.787
UA	30	CA	3	9.953
UA	30	CA	4	11.997
UA	30	CA	5	14.409
UA	50	CA	1	8.258
UA	50	CA	2	8.793
UA	50	CA	3	12.462
UA	50	CA	4	7.198
UA	50	CA	5	10.312
UA	70	CA	1	13.785
UA	70	CA	2	11.075
UA	70	CA	3	9.057
UA	70	CA	4	9.531
UA	70	CA	5	9.309
UA	30	OR	1	7.042
UA	30	OR	2	11.336
UA	30	OR	3	12.048
UA	30	OR	4	7.467
UA	30	OR	5	6.08
UA	50	OR	1	8.563
UA	50	OR	2	15.75
UA	50	OR	3	8.87
UA	50	OR	4	5.29
UA	50	OR	5	13.924
UA	70	OR	1	14.324
UA	70	OR	2	8.014
UA	70	OR	3	12.187
UA	70	OR	4	14.641
UA	70	OR	5	10.902
UA	30	TN	1	5.295
UA	30	TN	2	10.136
UA	30	TN	3	9.534
UA	30	TN	4	5.569
UA	30	TN	5	7.512
UA	50	TN	1	7.543
UA	50	TN	2	4.972
UA	50	TN	3	8.32
UA	50	TN	4	4.991
UA	50	TN	5	NA
UA	70	TN	1	5.428
UA	70	TN	2	4.485
UA	70	TN	3	5.968
UA	70	TN	4	3.196
UA	70	TN	5	7.236
UB	30	CA	1	0.324
UB	30	CA	2	0.299
UB	30	CA	3	0.282
UB	30	CA	4	0.385
UB	30	CA	5	0.286
UB	50	CA	1	0.258
UB	50	CA	2	0.265
UB	50	CA	3	0.26
UB	50	CA	4	0.293
UB	50	CA	5	0.276
UB	70	CA	1	0.263
UB	70	CA	2	0.277
UB	70	CA	3	0.266
UB	70	CA	4	0.279
UB	70	CA	5	0.262
UB	30	OR	1	0.258
UB	30	OR	2	0.293
UB	30	OR	3	0.27
UB	30	OR	4	0.273
UB	30	OR	5	0.274
UB	50	OR	1	0.253
UB	50	OR	2	0.271
